bs, l1s, l1a, vcs, l2s, l2a, l1read, l1readmiss, l1write, l1writemiss, swapreqs, swapreqrate, swaps, l1missrate, l1writeback, l2read, l2readmiss, l2write, l2writemiss, l2missrate, l2writebacks, memtraffic
32, 1024, 1, 0, 0, 0, 63640, 12300, 36360, 7046, 0, 0.000000, 0, 0.193500, 8359, 0, 0, 0, 0, 0.0, 0, 27705
32, 1024, 2, 0, 0, 0, 63640, 9623, 36360, 5980, 0, 0.000000, 0, 0.156000, 7002, 0, 0, 0, 0, 0.0, 0, 22605
32, 1024, 4, 0, 0, 0, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 0, 0, 0, 0, 0.0, 0, 20959
32, 1024, 8, 0, 0, 0, 63640, 7972, 36360, 5655, 0, 0.000000, 0, 0.136300, 6509, 0, 0, 0, 0, 0.0, 0, 20136
32, 1024, 32, 0, 0, 0, 63640, 8099, 36360, 5597, 0, 0.000000, 0, 0.137000, 6442, 0, 0, 0, 0, 0.0, 0, 20138
32, 2048, 1, 0, 0, 0, 63640, 8905, 36360, 5869, 0, 0.000000, 0, 0.147700, 6713, 0, 0, 0, 0, 0.0, 0, 21487
32, 2048, 2, 0, 0, 0, 63640, 5994, 36360, 4720, 0, 0.000000, 0, 0.107100, 5391, 0, 0, 0, 0, 0.0, 0, 16105
32, 2048, 4, 0, 0, 0, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 0, 0, 0, 0, 0.0, 0, 14564
32, 2048, 8, 0, 0, 0, 63640, 4744, 36360, 4325, 0, 0.000000, 0, 0.090700, 4788, 0, 0, 0, 0, 0.0, 0, 13857
32, 2048, 64, 0, 0, 0, 63640, 4585, 36360, 4275, 0, 0.000000, 0, 0.088600, 4693, 0, 0, 0, 0, 0.0, 0, 13553
32, 4096, 1, 0, 0, 0, 63640, 5883, 36360, 4134, 0, 0.000000, 0, 0.100200, 4675, 0, 0, 0, 0, 0.0, 0, 14692
32, 4096, 2, 0, 0, 0, 63640, 4000, 36360, 3528, 0, 0.000000, 0, 0.075300, 3962, 0, 0, 0, 0, 0.0, 0, 11490
32, 4096, 4, 0, 0, 0, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 0, 0, 0, 0, 0.0, 0, 9361
32, 4096, 8, 0, 0, 0, 63640, 2567, 36360, 2798, 0, 0.000000, 0, 0.053700, 3056, 0, 0, 0, 0, 0.0, 0, 8421
32, 4096, 128, 0, 0, 0, 63640, 2356, 36360, 2598, 0, 0.000000, 0, 0.049500, 2861, 0, 0, 0, 0, 0.0, 0, 7815
32, 8192, 1, 0, 0, 0, 63640, 3327, 36360, 3373, 0, 0.000000, 0, 0.067000, 3574, 0, 0, 0, 0, 0.0, 0, 10274
32, 8192, 2, 0, 0, 0, 63640, 2184, 36360, 2550, 0, 0.000000, 0, 0.047300, 2666, 0, 0, 0, 0, 0.0, 0, 7400
32, 8192, 4, 0, 0, 0, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 0, 0, 0, 0, 0.0, 0, 6743
32, 8192, 8, 0, 0, 0, 63640, 1643, 36360, 2311, 0, 0.000000, 0, 0.039500, 2397, 0, 0, 0, 0, 0.0, 0, 6351
32, 8192, 256, 0, 0, 0, 63640, 1629, 36360, 2283, 0, 0.000000, 0, 0.039100, 2378, 0, 0, 0, 0, 0.0, 0, 6290
32, 16384, 1, 0, 0, 0, 63640, 1932, 36360, 2677, 0, 0.000000, 0, 0.046100, 2503, 0, 0, 0, 0, 0.0, 0, 7112
32, 16384, 2, 0, 0, 0, 63640, 1161, 36360, 2223, 0, 0.000000, 0, 0.033800, 1965, 0, 0, 0, 0, 0.0, 0, 5349
32, 16384, 4, 0, 0, 0, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 0, 0, 0, 0, 0.0, 0, 4614
32, 16384, 8, 0, 0, 0, 63640, 681, 36360, 2093, 0, 0.000000, 0, 0.027700, 1773, 0, 0, 0, 0, 0.0, 0, 4547
32, 16384, 512, 0, 0, 0, 63640, 555, 36360, 2079, 0, 0.000000, 0, 0.026300, 1754, 0, 0, 0, 0, 0.0, 0, 4388
32, 32768, 1, 0, 0, 0, 63640, 1356, 36360, 2412, 0, 0.000000, 0, 0.037700, 1696, 0, 0, 0, 0, 0.0, 0, 5464
32, 32768, 2, 0, 0, 0, 63640, 752, 36360, 2129, 0, 0.000000, 0, 0.028800, 1324, 0, 0, 0, 0, 0.0, 0, 4205
32, 32768, 4, 0, 0, 0, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 0, 0, 0, 0, 0.0, 0, 3876
32, 32768, 8, 0, 0, 0, 63640, 554, 36360, 2071, 0, 0.000000, 0, 0.026300, 1234, 0, 0, 0, 0, 0.0, 0, 3859
32, 32768, 1024, 0, 0, 0, 63640, 554, 36360, 2070, 0, 0.000000, 0, 0.026200, 1233, 0, 0, 0, 0, 0.0, 0, 3857
32, 65536, 1, 0, 0, 0, 63640, 986, 36360, 2306, 0, 0.000000, 0, 0.032900, 1282, 0, 0, 0, 0, 0.0, 0, 4574
32, 65536, 2, 0, 0, 0, 63640, 639, 36360, 2074, 0, 0.000000, 0, 0.027100, 516, 0, 0, 0, 0, 0.0, 0, 3229
32, 65536, 4, 0, 0, 0, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 0, 0, 0, 0, 0.0, 0, 3006
32, 65536, 8, 0, 0, 0, 63640, 545, 36360, 2044, 0, 0.000000, 0, 0.025900, 290, 0, 0, 0, 0, 0.0, 0, 2879
32, 65536, 2048, 0, 0, 0, 63640, 544, 36360, 2039, 0, 0.000000, 0, 0.025800, 242, 0, 0, 0, 0, 0.0, 0, 2825
32, 131072, 1, 0, 0, 0, 63640, 937, 36360, 2296, 0, 0.000000, 0, 0.032300, 926, 0, 0, 0, 0, 0.0, 0, 4159
32, 131072, 2, 0, 0, 0, 63640, 544, 36360, 2046, 0, 0.000000, 0, 0.025900, 303, 0, 0, 0, 0, 0.0, 0, 2893
32, 131072, 4, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 0, 0, 0, 0, 0.0, 0, 2608
32, 131072, 8, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 4, 0, 0, 0, 0, 0.0, 0, 2586
32, 131072, 4096, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 262144, 1, 0, 0, 0, 63640, 544, 36360, 2040, 0, 0.000000, 0, 0.025800, 65, 0, 0, 0, 0, 0.0, 0, 2649
32, 262144, 2, 0, 0, 0, 63640, 544, 36360, 2040, 0, 0.000000, 0, 0.025800, 55, 0, 0, 0, 0, 0.0, 0, 2639
32, 262144, 4, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 0, 0, 0, 0, 0.0, 0, 2583
32, 262144, 8, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 262144, 8192, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 524288, 1, 0, 0, 0, 63640, 544, 36360, 2040, 0, 0.000000, 0, 0.025800, 65, 0, 0, 0, 0, 0.0, 0, 2649
32, 524288, 2, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 524288, 4, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 524288, 8, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 524288, 16384, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 1048576, 1, 0, 0, 0, 63640, 544, 36360, 2040, 0, 0.000000, 0, 0.025800, 54, 0, 0, 0, 0, 0.0, 0, 2638
32, 1048576, 2, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 1048576, 4, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 1048576, 8, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
32, 1048576, 32768, 0, 0, 0, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 0, 0, 0, 0, 0, 0.0, 0, 2582
