log2l1s,2-way Set Assoc. L1 w/ No VC,4-way Set Assoc. L1 w/ No VC,Direct Mapped L1 w/ 16-entry VC,Direct Mapped L1 w/ 2-entry VC,Direct Mapped L1 w/ 4-entry VC,Direct Mapped L1 w/ 8-entry VC,Direct Mapped L1 w/ No VC
10.0,0.7137542680000001,0.7158152731,0.7010221408,0.7153839259,0.7109090044,0.7065573574,0.7012167455000001
11.0,0.7183296483000001,0.7076578325999999,0.7012387102000002,0.7110031098,0.7074343034,0.7047137461,0.6996156641000001
12.0,0.7273273059,0.7269697327000001,0.7044441977,0.710679925,0.7089633044,0.7067577086,0.7018187126
13.0,0.7310491959000001,0.7471941775000002,0.7100597019,0.7138076563,0.7124872315,0.7119783197000001,0.7070561510000001
14.0,0.7563985834,0.7650387889,0.7379724431000001,0.7402089971000001,0.7389716163000001,0.7387720484,0.7348090783000001
15.0,0.7934964864,0.8024608472,0.7692661872,0.7692954779000001,0.7691273196999999,0.7697442130000001,0.7677140441000001
