log2l1s,128KiB,1MiB,256KiB,32KiB,512KiB,64KiB
10.0,0.7229464202,0.7664104143000001,0.7311786405,0.7157521997,0.7481959009000001,0.7158152731
11.0,0.7118851491999999,0.7411860337999999,0.7174348309999999,0.7097422941999999,0.7289068733999999,0.7076578325999999
12.0,0.7285183274000001,0.7467628491000001,0.7319738985000002,0.7304348279,0.7391170933000001,0.7269697327000001
13.0,0.7476095300000001,0.7605543075000001,0.7500613125000002,0.7514466425000002,0.7551295225000001,0.7471941775000002
14.0,0.7638932898,0.7725129887,0.7655258885,0.7691787393,0.7689007201,0.7650387889
15.0,0.8008085504000001,0.8088495416,0.8023315400000001,,0.8054797928,0.8024608472
16.0,0.849900136,0.8578192940000001,0.8514000500000001,,0.854500602,
17.0,,0.9170701301999999,0.910700265,,0.9137769666,
18.0,,0.9944751302,,,0.9911819666,
