log2l1s,2-way Set Assoc.,4-way Set Assoc.,8-way Set Assoc.,Direct Mapped,Fully Assoc.
10.0,3.275929,3.01509,,4.004147000000001,2.909184
11.0,2.314401,2.0881160000000003,2.003756,3.0978600000000003,1.957375
12.0,1.6946610000000002,1.389675,1.268435,2.161025,1.1778980000000001
13.0,1.1449250000000002,1.0654230000000002,1.006861,1.5105300000000002,0.9844910000000001
14.0,0.903297,0.8027660000000001,0.811124,1.1250270000000002,0.7342380000000001
15.0,0.841326,0.80189,0.8171410000000001,0.9911230000000001,0.75136
16.0,0.845437,0.8420810000000001,0.861803,0.955917,0.794861
17.0,0.895193,0.89886,0.919816,1.0160300000000002,0.8410660000000001
18.0,0.9645090000000001,0.976265,0.9775050000000001,0.962392,0.9145890000000001
19.0,1.086324,1.082998,1.0967570000000002,1.0820310000000002,0.994308
20.0,1.224626,1.218187,1.224399,1.2179600000000002,1.1070540000000002
