log2l1s,2-way Set Assoc.,4-way Set Assoc.,8-way Set Assoc.,Direct Mapped,Fully Assoc.
10.0,0.7494664120000002,0.7481959009000001,,0.7459024745000001,0.753766699
11.0,0.7424168667000001,0.7289068733999999,0.7521546829000001,0.7334277389000001,0.7466840862
12.0,0.7438085181,0.7391170933000001,0.7396138859000001,0.7241526914,0.7301357015000001
13.0,0.7400709141,0.7551295225000001,0.7541983415,0.7215860390000002,0.7398883207000001
14.0,0.7618263226,0.7689007201,0.7886110189,0.7441578817000001,0.7390300441000001
15.0,0.7978897536,0.8054797928,0.8236775231000002,0.7743742769,0.7580823174
16.0,0.8347961037,0.854500602,0.8753721913,0.8322987703,0.8095705346000001
17.0,0.9085539553,0.9137769666,0.9347329665999999,0.9039501951000001,0.8559829666000001
18.0,0.9790111026000001,0.9911819666,0.9924219666,0.9768941026000001,0.9295059666000001
