, l1a, l1s, l1missrate, l1read, l1write, l1readmiss, l1writemiss, l2a, l2s, l2missrate, l2read, l2write, l2readmiss, l2writemiss, vcs, swapreqs, swapreqrate, swaps,log2l1s,l1at,l2at,aat,area,vcat
28,Direct Mapped L1 w/ 16-entry VC,16384,0.0357,63640,36360,1932,2677,8,65536,0.7268,3572,2044,2596,4,16,4097,0.041,1037,14.0,0.198417,0.341213,0.7379724431000001,0.459552018,0.142543
29,Direct Mapped L1 w/ 16-entry VC,32768,0.0306,63640,36360,1356,2412,8,65536,0.8479,3058,1392,2593,49,16,2778,0.0278,710,15.0,0.233353,0.341213,0.7692661872,0.573346599,0.142543
30,2-way Set Assoc. L1 w/ No VC,1024,0.156,63640,36360,9623,5980,8,65536,0.1659,15603,7002,2589,0,0,0,0.0,0,10.0,0.140329,0.341213,0.7137542680000001,0.369789343,0.0
31,2-way Set Assoc. L1 w/ No VC,2048,0.1071,63640,36360,5994,4720,8,65536,0.2416,10714,5391,2589,0,0,0,0.0,0,11.0,0.161691,0.341213,0.7183296483000001,0.380097937,0.0
32,2-way Set Assoc. L1 w/ No VC,4096,0.0753,63640,36360,4000,3528,8,65536,0.3439,7528,3962,2589,0,0,0,0.0,0,12.0,0.181131,0.341213,0.7273273059,0.395975505,0.0
33,2-way Set Assoc. L1 w/ No VC,8192,0.0473,63640,36360,2184,2550,8,65536,0.5477,4734,2666,2593,0,0,0,0.0,0,13.0,0.194195,0.341213,0.7310491959000001,0.444073775,0.0
34,2-way Set Assoc. L1 w/ No VC,16384,0.0338,63640,36360,1161,2223,8,65536,0.7668,3384,1965,2595,0,0,0,0.0,0,14.0,0.223917,0.341213,0.7563985834,0.490424655,0.0
35,2-way Set Assoc. L1 w/ No VC,32768,0.0288,63640,36360,752,2129,8,65536,0.9004,2881,1324,2594,27,0,0,0.0,0,15.0,0.262446,0.341213,0.7934964864,0.56587226,0.0
36,4-way Set Assoc. L1 w/ No VC,1024,0.1427,63640,36360,8449,5821,8,65536,0.1814,14270,6689,2589,0,0,0,0.0,0,10.0,0.14682,0.341213,0.7158152731,0.375432559,0.0
37,4-way Set Assoc. L1 w/ No VC,2048,0.0962,63640,36360,5170,4452,8,65536,0.2691,9622,4942,2589,0,0,0,0.0,0,11.0,0.154496,0.341213,0.7076578325999999,0.37897997,0.0
38,4-way Set Assoc. L1 w/ No VC,4096,0.0599,63640,36360,2941,3051,8,65536,0.4326,5992,3369,2592,0,0,0,0.0,0,12.0,0.185685,0.341213,0.7269697327000001,0.397958164,0.0
39,4-way Set Assoc. L1 w/ No VC,8192,0.0425,63640,36360,1844,2403,8,65536,0.6105,4247,2496,2593,0,0,0,0.0,0,13.0,0.211173,0.341213,0.7471941775000002,0.42875176699999995,0.0
40,4-way Set Assoc. L1 w/ No VC,16384,0.0283,63640,36360,741,2091,8,65536,0.9167,2832,1782,2596,0,0,0,0.0,0,14.0,0.233936,0.341213,0.7650387889,0.466259304,0.0
41,4-way Set Assoc. L1 w/ No VC,32768,0.0264,63640,36360,570,2070,8,65536,0.9841,2640,1236,2598,0,0,0,0.0,0,15.0,0.27125,0.341213,0.8024608472,0.5969652919999999,0.0
