size,blocksize,assoc,at,energy,area
2048,64,-1,0.161001,0.00531245,0.010753381
4096,64,1,0.147005,0.00196946,0.028086299
4096,64,2,0.16771,0.00224078,0.027198616
4096,64,4,0.160354,0.00505862,0.037648551
4096,64,8,0.186941,0.013699,0.05054359
4096,64,-1,0.184206,0.00774623,0.016666697
8192,64,1,0.16383,0.00320104,0.053250694
8192,64,2,0.187998,0.00297292,0.06852609
8192,64,4,0.196556,0.005229,0.077459272
8192,64,8,0.198532,0.01475,0.101625732
8192,64,-1,0.190892,0.0143472,0.032065054
16384,64,1,0.198417,0.00308801,0.081574631
16384,64,2,0.207401,0.00422235,0.11660312
16384,64,4,0.222003,0.00606542,0.105581938
16384,64,8,0.22541,0.0156191,0.128170143
16384,64,-1,0.20783,0.0310525,0.063446019
32768,64,1,0.233353,0.00501734,0.197773382
32768,64,2,0.242815,0.00624312,0.252643303
32768,64,4,0.253835,0.0086208,0.215964322
32768,64,8,0.26894,0.0153844,0.246701701
32768,64,-1,0.217214,0.0584626,0.126758073
65536,64,1,0.294627,0.00593349,0.330567316
65536,64,2,0.293186,0.00845268,0.318510865
65536,64,4,0.301453,0.011042,0.350675298
65536,64,8,0.309062,0.0181008,0.355436821
65536,64,-1,0.267214,0.0974412,0.193182633
131072,64,1,0.36361,0.00818393,0.508858748
131072,64,2,0.367262,0.0100249,0.645055569
131072,64,4,0.365784,0.0133337,0.606376943
131072,64,8,0.379665,0.0224525,0.645075206
131072,64,-1,0.361203,0.169183,0.422683648
262144,64,1,0.443812,0.0110927,1.27791579
262144,64,2,0.444526,0.0134297,1.276581231
262144,64,4,0.445974,0.0177567,0.990228993
262144,64,8,0.446158,0.0261278,0.974443035
262144,64,-1,0.392598,0.343811,0.766857492
524288,64,1,0.563451,0.0172012,2.239303562
524288,64,2,0.564071,0.0212742,2.595484607
524288,64,4,0.564256,0.0264947,2.509805835
524288,64,8,0.568326,0.038594,2.550639722
524288,64,-1,0.475728,0.685021,1.563662105
1048576,64,1,0.69938,0.025521,3.748383385
1048576,64,2,0.699671,0.0288244,3.792861827
1048576,64,4,0.692268,0.0375014,3.923255496
1048576,64,8,0.692843,0.0531661,3.817456263
1048576,64,-1,0.588474,1.31735,3.063115526
1024,128,1,0.114797,0.00234148,0.010106624
1024,128,-1,0.140136,0.00347392,0.003939615
2048,128,1,0.12909,0.00192233,0.015518442
2048,128,2,0.148145,0.00189113,0.017403789
2048,128,-1,0.1515,0.00418127,0.010753381
4096,128,1,0.147005,0.00187253,0.028297035
4096,128,2,0.163704,0.00211445,0.036107002
4096,128,4,0.167065,0.00460749,0.037195137
4096,128,-1,0.164487,0.0057077,0.015836914
8192,128,1,0.16383,0.00306166,0.048439984
8192,128,2,0.178356,0.00272237,0.056478922
8192,128,4,0.182131,0.00524144,0.076057233
8192,128,8,0.202278,0.0139783,0.101566854
8192,128,-1,0.193098,0.00835191,0.045142853
16384,128,1,0.199965,0.00290991,0.085172927
16384,128,2,0.210939,0.00341478,0.088279503
16384,128,4,0.198643,0.0056837,0.102035919
16384,128,8,0.215444,0.0151832,0.146525971
16384,128,-1,0.200729,0.0150466,0.063446019
32768,128,1,0.233353,0.00471193,0.167644273
32768,128,2,0.2443,0.0050829,0.173737267
32768,128,4,0.248918,0.0071601,0.168170719
32768,128,8,0.249319,0.0144266,0.205292678
32768,128,-1,0.244227,0.0260512,0.127539801
65536,128,1,0.294627,0.00562641,0.319038379
65536,128,2,0.288747,0.00767283,0.325184811
65536,128,4,0.286907,0.0102404,0.353089185
65536,128,8,0.295553,0.0173911,0.421918943
65536,128,-1,0.283145,0.0524765,0.258973358
131072,128,1,0.3668,0.00765003,0.579677712
131072,128,2,0.367262,0.00881971,0.510480224
131072,128,4,0.363776,0.0110906,0.504527713
131072,128,8,0.363296,0.0196859,0.636104635
131072,128,-1,0.359896,0.0918785,0.422683648
262144,128,1,0.443812,0.0104308,1.124468244
262144,128,2,0.444234,0.0121568,1.239651148
262144,128,4,0.444449,0.015148,1.241787137
262144,128,8,0.445288,0.0219257,1.271603013
262144,128,-1,0.387463,0.182035,0.766857492
524288,128,1,0.563451,0.0163488,2.239415402
524288,128,2,0.564071,0.019213,2.307203453
524288,128,4,0.564256,0.0233787,2.272480017
524288,128,8,0.565223,0.0327253,2.297538529
524288,128,-1,0.501654,0.352188,1.525633506
1048576,128,1,0.69938,0.0243589,3.372022767
1048576,128,2,0.699671,0.0272277,3.450340649
1048576,128,4,0.692268,0.0338646,3.772122347
1048576,128,8,0.692843,0.0458644,3.817119626
1048576,128,-1,0.588474,0.70111,3.063115526
