bs, l1s, l1a, vcs, l2s, l2a, l1read, l1readmiss, l1write, l1writemiss, swapreqs, swapreqrate, swaps, l1missrate, l1writeback, l2read, l2readmiss, l2write, l2writemiss, l2missrate, l2writebacks, memtraffic
32, 1024, 4, 0, 524288, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2582, 6689, 0, 0.180900, 0, 2582
32, 2048, 4, 0, 524288, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2582, 4942, 0, 0.268300, 0, 2582
32, 4096, 4, 0, 524288, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2582, 3369, 0, 0.430900, 0, 2582
32, 8192, 4, 0, 524288, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2582, 2496, 0, 0.608000, 0, 2582
32, 16384, 4, 0, 524288, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2582, 1782, 0, 0.911700, 0, 2582
32, 32768, 4, 0, 524288, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2582, 1236, 0, 0.978000, 0, 2582
32, 65536, 4, 0, 524288, 8, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 2595, 2582, 411, 0, 0.995000, 0, 2582
32, 131072, 4, 0, 524288, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 2582, 2582, 26, 0, 1.000000, 0, 2582
32, 262144, 4, 0, 524288, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 2582, 2582, 1, 0, 1.000000, 0, 2582
32, 1024, 4, 0, 1048576, 8, 63640, 8449, 36360, 5821, 0, 0.000000, 0, 0.142700, 6689, 14270, 2582, 6689, 0, 0.180900, 0, 2582
32, 2048, 4, 0, 1048576, 8, 63640, 5170, 36360, 4452, 0, 0.000000, 0, 0.096200, 4942, 9622, 2582, 4942, 0, 0.268300, 0, 2582
32, 4096, 4, 0, 1048576, 8, 63640, 2941, 36360, 3051, 0, 0.000000, 0, 0.059900, 3369, 5992, 2582, 3369, 0, 0.430900, 0, 2582
32, 8192, 4, 0, 1048576, 8, 63640, 1844, 36360, 2403, 0, 0.000000, 0, 0.042500, 2496, 4247, 2582, 2496, 0, 0.608000, 0, 2582
32, 16384, 4, 0, 1048576, 8, 63640, 741, 36360, 2091, 0, 0.000000, 0, 0.028300, 1782, 2832, 2582, 1782, 0, 0.911700, 0, 2582
32, 32768, 4, 0, 1048576, 8, 63640, 570, 36360, 2070, 0, 0.000000, 0, 0.026400, 1236, 2640, 2582, 1236, 0, 0.978000, 0, 2582
32, 65536, 4, 0, 1048576, 8, 63640, 547, 36360, 2048, 0, 0.000000, 0, 0.026000, 411, 2595, 2582, 411, 0, 0.995000, 0, 2582
32, 131072, 4, 0, 1048576, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 26, 2582, 2582, 26, 0, 1.000000, 0, 2582
32, 262144, 4, 0, 1048576, 8, 63640, 544, 36360, 2038, 0, 0.000000, 0, 0.025800, 1, 2582, 2582, 1, 0, 1.000000, 0, 2582
